list_name,description,source,availability,notes
threatER Curated DNS,"Known IP addresses of major DNS providers (Cloudflare, Google, OpenDNS). Recommended to always allow unless alternative DNS services are enforced.",ThreatER,Included,"Core DNS infrastructure"
threatER SaaS,"Ensures access to ThreatER SaaS, support, and security update servers required for platform operation.",ThreatER,Included,"Required for platform functionality"
Akamai,"Content Delivery Network. Blanket allow should be used cautiously. Curated by GreyNoise RIOT.",GreyNoise RIOT,Marketplace,"CDN allow list"
Amazon Cloudfront,"Content Delivery Network. Blanket allow should be used cautiously. Curated by GreyNoise RIOT.",GreyNoise RIOT,Marketplace,"CDN allow list"
Cisco Webex,"Collaboration platform. Curated by GreyNoise RIOT.",GreyNoise RIOT,Marketplace,"Collaboration services"
Cloudflare CDN,"Content Delivery Network. Blanket allow should be used cautiously. Curated by GreyNoise RIOT.",GreyNoise RIOT,Marketplace,"CDN allow list"
DocuSign,"Legal document management and signing service.",ThreatER,Marketplace,"Business SaaS"
Fastly,"Content Delivery Network.",ThreatER,Marketplace,"CDN allow list"
GitHub,"Public feed of GitHub IP addresses. Provided due to frequent false positives in threat intelligence feeds.",GitHub,Marketplace,"Use with caution"
Google,"Google search and SaaS services.",ThreatER,Marketplace,"Major SaaS provider"
MailChimp,"Email marketing and automation service.",ThreatER,Marketplace,"Marketing SaaS"
Microsoft,"Curated allow lists for Microsoft Common, Exchange, SharePoint, and Skype services using Microsoft-published IPs.",Microsoft,Marketplace,"Critical enterprise SaaS"
Okta,"Authentication and identity platform.",ThreatER,Marketplace,"Identity services"
Pingdom,"Monitoring service sensor IPs provided by Pingdom. Automatically curated by ThreatER.",Pingdom,Marketplace,"Monitoring infrastructure"
Qualys,"Penetration testing and security assessment platform. Curated by GreyNoise RIOT.",GreyNoise RIOT,Marketplace,"Security tooling"
SurveyMonkey,"Online survey and marketing platform.",ThreatER,Marketplace,"Marketing SaaS"
Windows Update,"Known servers and services associated with Microsoft Windows Update. Discovered dynamically.",Microsoft,Included,"IP set may be incomplete"
Zoom,"Known Zoom service IPs published by Zoom. Provided as both allow and block list options.",Zoom,Included,"Business collaboration"
